ref_count,n2_year,n2,n1,n1_year
8,2019,484,484,2015
8,2020,484,484,2016
10,2020,484,484,2017
7,2020,484,5109,2018
8,2020,484,5109,2017
5,2020,484,484,2020
5,2020,484,5109,2016
15,2020,484,484,2019
6,2020,484,484,2013
14,2020,484,5109,2019
8,2020,484,484,2015
6,2020,484,484,2018
10,2021,484,484,2020
13,2021,484,5109,2019
6,2021,484,484,2018
6,2021,484,484,2016
9,2021,484,5109,2018
5,2021,484,484,2015
7,2021,484,484,2017
5,2021,484,5109,2020
14,2021,484,484,2019
7,2013,494,494,2011
9,2013,494,494,2012
5,2014,494,494,2013
10,2014,494,494,2012
6,2014,494,494,2011
6,2015,494,494,2013
8,2015,494,494,2011
9,2015,494,494,2012
6,2015,494,494,2014
6,2016,494,494,2013
7,2016,494,494,2012
6,2016,494,494,2011
5,2016,494,494,2014
5,2017,494,494,2012
6,2017,494,494,2014
5,2018,494,494,2012
5,2018,494,494,2013
5,2021,494,494,2018
5,2012,536,536,2010
8,2014,536,536,2013
6,2014,536,536,2012
9,2015,536,536,2012
14,2015,536,536,2013
9,2015,536,536,2014
9,2016,536,536,2013
6,2016,536,536,2015
9,2016,536,536,2014
8,2017,536,536,2012
12,2017,536,536,2014
5,2017,536,1098,2016
5,2017,536,536,2016
10,2017,536,536,2015
5,2017,536,536,2017
10,2017,536,536,2013
6,2018,536,536,2016
8,2018,536,536,2014
7,2018,536,536,2013
5,2018,536,536,2012
16,2018,536,536,2017
7,2018,536,536,2015
7,2019,536,536,2012
9,2019,536,536,2016
12,2019,536,536,2018
5,2019,536,1098,2016
7,2019,536,536,2014
9,2019,536,536,2015
17,2019,536,536,2017
5,2020,536,536,2014
12,2020,536,536,2019
12,2020,536,536,2017
16,2020,536,536,2018
5,2020,536,536,2012
9,2020,536,536,2015
5,2020,536,536,2013
7,2020,536,536,2016
6,2021,536,536,2012
6,2021,536,536,2013
10,2021,536,536,2017
14,2021,536,536,2018
18,2021,536,536,2019
11,2021,536,536,2015
9,2021,536,536,2020
9,2013,556,556,2011
5,2014,556,556,2011
7,2015,556,556,2012
5,2015,556,556,2013
7,2017,556,556,2011
10,2018,556,556,2016
6,2018,556,556,2015
6,2019,556,556,2016
6,2019,556,556,2015
5,2019,556,556,2014
5,2020,556,556,2017
8,2020,556,556,2018
7,2020,556,556,2016
5,2020,556,556,2019
7,2021,556,556,2018
7,2021,556,556,2019
7,2021,556,556,2020
5,2021,556,556,2013
8,2017,616,616,2016
5,2017,616,616,2011
8,2018,616,616,2017
6,2018,616,616,2016
9,2019,616,616,2017
5,2019,616,616,2018
9,2019,616,616,2016
22,2020,616,616,2017
11,2020,616,616,2019
6,2020,616,616,2020
11,2020,616,616,2016
5,2020,616,5109,2017
